ETH,SOL,Amount of Nafflings
0x92DfBC2f393e33B583eA10C572087d81e9806054,BkNV3qeA9DLyyHV4tbUesKE4WTcqMCAnQ51eWTrdwnSF,500
0x93bd17f96a31C89403bc8e97fF20384bDC6eAC2E,GpnMnz3QMYkMbC3LKTQUq4heWpTv54Jg6fPjTRo7Qubu,500
0x94fa2B1CD49204E7178e86F64ceC4Edb9AB2Eed5,7p5ibYKpTF8ZWvdwyZZPMX3huCBwNSqXKtNaLeFFmAHY,2000
0x954E050907e3EEb4c2E7FD9Bf6b42eeF855AB952,CDHKLHuFbGCqGePkLs9CHRmUXmsefHHN1biT3wbMpHeu,1000
0x962d7c6B816BDc2653EA4eE07622F107E9Dd9F30,8xFF2QwjdBKA7q6KaZJN1NyVvGumLJrXBLjnVp2aTuuL,1000
0x99943e3540Dfee6DBee83F655d269F2dB84DAC9E,DDhuEa7ddNVW85kZ23gxdHJQ5jCz86gqTvjFLHP8Ran9,1000
0x99D6EECBd8453a83Df1A0bC301DB3B22214fab83,3nVShbomAFZBwH1LTfGU2S7dovoM8VXnYMcooJyfaZAo,500
0x9C2f27Fa53238B9f515960034a702B5E8E9461Ff,hG3BAUoVgKidz3wQwWTxLajznUuW5cWVKY9uVGHm1RJ,1000
0x9cF76a27464dbFcF00285Da716852Ff95AEC78BE,LCwszznxyBrnx21HAiSEgvPqtd2TsAwjymTB3bL3MBE,1000
0x9D5F4261a1CfAD4882Bff8CE609d8ceC0f711748,Hi2egAPKQMDiBMQ9DHp4L4kguHVoRBFG3wQE8ArL7eXB,500
0x9dcc8ffe827233cf6f33e47910e95d548adbaefa,BL7tH3faMfB5TiNo4g8BGnK1zY1Bxg4YZY79MaCVWB8P,500
0x9E5d84860f747ffc1C1F8c86017a72f4f52EBF57,EGkWKPW475iog2jYe5z8NQXGhu7jDKQTWYEqLgX98eqM,1000
0x9e865feD7835A2BF2984d0bE3a23018DefdFe839,H6tYWJnccAkmHDKehxkwaKrta65YTnyRM3cdNtzPmphc,1000
0xA0aDe6F2EED2CA87A12Ba7021C8FaE8701292F8a,33BJoJ8UvHCwV7VVvHA9tPW87NfbtNMJjJQDAErqqNhp,2000
0xA2F481cc0853DA3a7851310C581D0A4023435A53,8sJDmrEPdFHR1NPUfKEDt2GpWri8DLXxEnwm3U7VFnQd,500
0xa304F6F4bF49bf687ab95726805Bb727762E41aF,EAD6FEkbyCXVmU1icdETgWXztuxxtYsGKvotuW1Cpi4W,1000
0xA5326E127619D9fE0804F7E099640a1e0aA2Cbd7,nVEENyuLo8aCbWX1VjhhS7aRzvchskJSNJqyf4e3TgA,5600
0xA65Cc89c127c5B6Abd3A4626aF490F084B1BF3fA,FvHPJRBAfaazAD1F4zngFZ9Bq8mw1emeuwr4JuGVN28J,500
0xa9A34F1e64011dF71Ad703ccb0870D564Db11626,B5VooMquHm5gmRpZBNZTromeDgpTrqpcEEH4gW8XqMwh,500
0xa9E94416Aa43913c8E779Cf356bC0C6a250EA6Bf,GcUFHPFK4YvFcxvcRLMuzeYyC4yddD8qzJPqE6syQKuK,500
0xac44845D5Fdd388188A68a5C3014abA256eDb717,E6KaYJAHCw8UuEiu1GBDrCd11HiAvcFTTG1bgy8xf7KW,500
0xac6bf57b23654816505249e51d7a7ba12ac85411,EB6dqs3BcPaR9NBZbtqDLepPrZxtVgEC3Lx2nUHY82fi,2000
0xaC9F4232265b35eC4E4c50f1f7D811301c99ee52,FqXmUgtcvjsXvw7qcBNJenEZWJJfR8xTFCuyghgdaJUC,1000
0xaCB56F65a3C8F0A109C9ec622F21647e05a65B72,ENJ2S58146doLKEy9q317yTisWdPYmXQQtSL67LwzfWx,1000
